Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,3154991137640,22.241,-1.817,0.849,17,16,22241,-1817,849,0,0,0
5,1,1,0,0x00000000,0,2,3154991137640,22.298,-1.677,0.786,76,16,22298,-1677,786,0,0,0
5,1,1,0,0x00000000,0,2,3155003116300,22.175,-1.544,0.965,3,16,22175,-1544,965,0,0,0
5,1,1,0,0x00000000,0,2,3155003116300,22.294,-1.678,0.617,4,16,22294,-1678,617,0,0,0
5,1,1,0,0x00000000,0,2,3155003116300,22.157,-1.857,0.96,0,16,22157,-1857,960,0,0,0
5,1,1,0,0x00000000,0,2,3155014296600,22.221,-1.869,0.916,9,16,22221,-1869,916,0,0,0
5,1,1,0,0x00000000,0,2,3155014296600,22.265,-1.719,0.903,45,16,22265,-1719,903,0,0,0
5,1,1,0,0x00000000,0,2,3155014296600,22.406,-1.575,0.897,16,16,22406,-1575,897,0,0,0
5,1,1,0,0x00000000,0,2,3155055428440,22.328,-1.525,0.826,0,16,22328,-1525,826,0,0,0
5,1,1,0,0x00000000,0,2,3155055827780,22.186,-1.629,0.925,9,16,22186,-1629,925,0,0,0
5,1,1,0,0x00000000,0,2,3155078587880,22.349,-1.643,0.795,67,16,22349,-1643,795,0,0,0
5,1,1,0,0x00000000,0,2,3155078587880,22.265,-1.778,0.861,31,16,22265,-1778,861,0,0,0
5,1,1,0,0x00000000,0,2,3155078987080,22.18,-1.912,0.924,1,16,22180,-1912,924,0,0,0
