Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,1082399517520,11.542,1.368,-0.25,1,16,11542,1368,-250,0,0,0
5,1,1,0,0x00000000,0,2,1082399517520,11.715,1.377,-0.07,16,16,11715,1377,-70,0,0,0
5,1,1,0,0x00000000,0,2,1082399917100,11.546,1.288,-0.262,1,16,11546,1288,-262,0,0,0
5,1,1,0,0x00000000,0,2,1082399917100,11.649,1.288,-0.082,2,16,11649,1288,-82,0,0,0
5,1,1,0,0x00000000,0,2,1082412297660,11.733,1.176,-0.057,0,16,11733,1176,-57,0,0,0
5,1,1,0,0x00000000,0,2,1082412297660,11.763,1.249,-0.1,2,16,11763,1249,-100,0,0,0
5,1,1,0,0x00000000,0,2,1082412297660,11.777,1.322,-0.145,1,16,11777,1322,-145,0,0,0
5,1,1,0,0x00000000,0,2,1082412297660,11.635,1.375,-0.189,15,16,11635,1375,-189,0,0,0
5,1,1,0,0x00000000,0,2,1082422682700,11.753,1.509,-0.009,0,16,11753,1509,-9,0,0,0
5,1,1,0,0x00000000,0,2,1082422682700,11.68,1.428,-0.18,9,16,11680,1428,-180,0,0,0
5,1,1,0,0x00000000,0,2,1082422682700,11.747,1.425,0.003,3,16,11747,1425,3,0,0,0
5,1,1,0,0x00000000,0,2,1082423082660,11.762,1.355,-0.167,15,16,11762,1355,-167,0,0,0
5,1,1,0,0x00000000,0,2,1082423082660,11.82,1.278,-0.153,1,16,11820,1278,-153,0,0,0
5,1,1,0,0x00000000,0,2,1082423082660,11.831,1.197,-0.136,1,16,11831,1197,-136,0,0,0
5,1,1,0,0x00000000,0,2,1082487391000,12.23,1.439,-0.21,3,16,12230,1439,-210,0,0,0
5,1,1,0,0x00000000,0,2,1082487391000,12.088,1.433,-0.018,2,16,12088,1433,-18,0,0,0
5,1,1,0,0x00000000,0,2,1082487790440,12.135,1.523,-0.026,3,16,12135,1523,-26,0,0,0
5,1,1,0,0x00000000,0,2,1082487790440,12.21,1.611,-0.227,1,16,12210,1611,-227,0,0,0
