Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,1083102390700,15.405,1.035,0.24,0,16,15405,1035,240,0,0,0
5,1,1,0,0x00000000,0,2,1083102390700,15.385,1.125,0.298,3,16,15385,1125,298,0,0,0
5,1,1,0,0x00000000,0,2,1083102390700,15.377,1.217,0.356,1,16,15377,1217,356,0,0,0
5,1,1,0,0x00000000,0,2,1083102390700,15.333,1.307,0.411,0,16,15333,1307,411,0,0,0
5,1,1,0,0x00000000,0,2,1083125558500,15.639,1.139,0.299,21,16,15639,1139,299,0,0,0
5,1,1,0,0x00000000,0,2,1083125558500,15.481,1.234,0.324,18,16,15481,1234,324,0,0,0
5,1,1,0,0x00000000,0,2,1083125558500,15.428,1.336,0.349,24,16,15428,1336,349,0,0,0
5,1,1,0,0x00000000,0,2,1083125558500,15.49,1.449,0.375,0,16,15490,1449,375,0,0,0
5,1,1,0,0x00000000,0,2,1083136742760,15.465,1.38,0.207,0,16,15465,1380,207,0,0,0
5,1,1,0,0x00000000,0,2,1083136742760,15.585,1.378,0.45,0,16,15585,1378,450,0,0,0
5,1,1,0,0x00000000,0,2,1083136742760,15.513,1.275,0.395,10,16,15513,1275,395,0,0,0
5,1,1,0,0x00000000,0,2,1083136742760,15.601,1.185,0.347,32,16,15601,1185,347,0,0,0
5,1,1,0,0x00000000,0,2,1083136742760,15.575,1.085,0.298,0,16,15575,1085,298,0,0,0
5,1,1,0,0x00000000,0,2,1083148724460,15.558,1.058,0.402,17,16,15558,1058,402,0,0,0
5,1,1,0,0x00000000,0,2,1083148724460,15.581,1.169,0.397,25,16,15581,1169,397,0,0,0
5,1,1,0,0x00000000,0,2,1083148724460,15.548,1.274,0.389,26,16,15548,1274,389,0,0,0
5,1,1,0,0x00000000,0,2,1083148724460,15.598,1.388,0.381,11,16,15598,1388,381,0,0,0
5,1,1,0,0x00000000,0,2,1083159908520,15.676,1.432,0.454,4,16,15676,1432,454,0,0,0
5,1,1,0,0x00000000,0,2,1083159908520,15.638,1.321,0.435,18,16,15638,1321,435,0,0,0
5,1,1,0,0x00000000,0,2,1083159908520,15.616,1.209,0.419,8,16,15616,1209,419,0,0,0
