Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,1083520126440,17.244,0.764,0.981,10,16,17244,764,981,0,0,0
5,1,1,0,0x00000000,0,2,1083520126440,17.338,0.784,1.271,0,16,17338,784,1271,0,0,0
5,1,1,0,0x00000000,0,2,1083520126440,17.277,0.842,1.075,13,16,17277,842,1075,0,0,0
5,1,1,0,0x00000000,0,2,1083520126440,17.155,0.916,1.159,13,16,17155,916,1159,0,0,0
5,1,1,0,0x00000000,0,2,1083531304680,17.081,0.993,1.223,0,16,17081,993,1223,0,0,0
5,1,1,0,0x00000000,0,2,1083531304680,17.334,0.904,1.019,6,16,17334,904,1019,0,0,0
5,1,1,0,0x00000000,0,2,1083531304680,17.139,0.882,1.267,9,16,17139,882,1267,0,0,0
5,1,1,0,0x00000000,0,2,1083531304680,17.208,0.845,0.905,0,16,17208,845,905,0,0,0
5,1,1,0,0x00000000,0,2,1083531304680,17.302,0.837,1.171,51,16,17302,837,1171,0,0,0
5,1,1,0,0x00000000,0,2,1083531304680,17.313,0.782,1.064,24,16,17313,782,1064,0,0,0
5,1,1,0,0x00000000,0,2,1083543291120,17.342,0.748,0.989,3,16,17342,748,989,0,0,0
5,1,1,0,0x00000000,0,2,1083543291120,17.426,0.77,1.278,5,16,17426,770,1278,0,0,0
5,1,1,0,0x00000000,0,2,1083543291120,17.384,0.851,1.059,12,16,17384,851,1059,0,0,0
5,1,1,0,0x00000000,0,2,1083554474380,17.451,1.07,1.244,3,16,17451,1070,1244,0,0,0
5,1,1,0,0x00000000,0,2,1083554474380,17.421,0.977,1.158,4,16,17421,977,1158,0,0,0
5,1,1,0,0x00000000,0,2,1083554474380,17.432,0.885,1.077,8,16,17432,885,1077,0,0,0
5,1,1,0,0x00000000,0,2,1083554474380,17.382,0.79,0.994,3,16,17382,790,994,0,0,0
5,1,1,0,0x00000000,0,2,1083554474380,17.453,0.778,1.265,7,16,17453,778,1265,0,0,0
5,1,1,0,0x00000000,0,2,1083554474380,17.279,0.675,1.173,1,16,17279,675,1173,0,0,0
