Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,3170894923180,26.276,-1.899,0.261,22,16,26276,-1899,261,0,0,0
5,1,1,0,0x00000000,0,2,3170894923180,26.307,-1.728,0.319,59,16,26307,-1728,319,0,0,0
5,1,1,0,0x00000000,0,2,3170936057640,26.484,-1.643,0.202,3,16,26484,-1643,202,0,0,0
5,1,1,0,0x00000000,0,2,3170936057640,26.334,-1.804,0.273,76,16,26334,-1804,273,0,0,0
5,1,1,0,0x00000000,0,2,3170947238260,26.336,-1.863,0.226,24,16,26336,-1863,226,0,0,0
5,1,1,0,0x00000000,0,2,3170947238260,26.298,-1.697,0.139,5,16,26298,-1697,139,0,0,0
5,1,1,0,0x00000000,0,2,3170959218540,26.266,-1.69,0.443,1,16,26266,-1690,443,0,0,0
5,1,1,0,0x00000000,0,2,3170970401300,26.322,-1.939,0.379,11,16,26322,-1939,379,0,0,0
5,1,1,0,0x00000000,0,2,3170970401300,26.374,-1.76,0.353,76,16,26374,-1760,353,0,0,0
5,1,1,0,0x00000000,0,2,3170982382260,26.581,-1.598,0.321,2,16,26581,-1598,321,0,0,0
5,1,1,0,0x00000000,0,2,3170982382260,26.402,-1.77,0.272,84,16,26402,-1770,272,0,0,0
