Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,1044007977020,23.016,2.485,-0.165,30,16,23016,2485,-165,0,0,0
5,1,1,0,0x00000000,0,2,1044007977020,22.977,2.642,-0.163,13,16,22977,2642,-163,0,0,0
5,1,1,0,0x00000000,0,2,1044007977020,22.732,2.777,-0.161,2,16,22732,2777,-161,0,0,0
5,1,1,0,0x00000000,0,2,1044018761100,22.933,2.555,-0.265,27,16,22933,2555,-265,0,0,0
5,1,1,0,0x00000000,0,2,1044031141220,22.945,2.391,-0.249,28,16,22945,2391,-249,0,0,0
5,1,1,0,0x00000000,0,2,1044031141220,22.89,2.54,-0.298,28,16,22890,2540,-298,0,0,0
5,1,1,0,0x00000000,0,2,1044031141220,22.813,2.684,-0.348,16,16,22813,2684,-348,0,0,0
5,1,1,0,0x00000000,0,2,1044041923360,22.737,2.686,-0.39,13,16,22737,2686,-390,0,0,0
5,1,1,0,0x00000000,0,2,1044041923360,22.849,2.536,-0.4,38,16,22849,2536,-400,0,0,0
5,1,1,0,0x00000000,0,2,1044041923360,22.887,2.377,-0.406,9,16,22887,2377,-406,0,0,0
