Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,1043764374700,23.495,3.237,0.701,1,16,23495,3237,701,0,0,0
5,1,1,0,0x00000000,0,2,1043764374700,23.36,3.381,0.743,29,16,23360,3381,743,0,0,0
5,1,1,0,0x00000000,0,2,1043764374700,23.374,3.545,0.787,6,16,23374,3545,787,0,0,0
5,1,1,0,0x00000000,0,2,1043787540120,23.543,3.204,0.657,1,16,23543,3204,657,0,0,0
5,1,1,0,0x00000000,0,2,1043787540120,23.321,3.34,0.648,31,16,23321,3340,648,0,0,0
5,1,1,0,0x00000000,0,2,1043787540120,23.439,3.527,0.645,1,16,23439,3527,645,0,0,0
5,1,1,0,0x00000000,0,2,1043798319480,23.414,3.529,0.632,4,16,23414,3529,632,0,0,0
5,1,1,0,0x00000000,0,2,1043798319480,23.298,3.365,0.55,12,16,23298,3365,550,0,0,0
5,1,1,0,0x00000000,0,2,1043821483300,23.313,3.446,0.49,0,16,23313,3446,490,0,0,0
5,1,1,0,0x00000000,0,2,1043821483300,23.254,3.271,0.465,22,16,23254,3271,465,0,0,0
